name,2012EI,2013EI,2014EI,2015EI,2016EI,2017EI,2018EI,Education,,2012CR,2013CR,2014CR,2015CR,2016CR,2017CR,2018CR,Criminality,,2012II,2013II,2014II,2015II,2016II,2017II,2018II,Income
Hungary,0.82888888888889,0.83333333333333,0.82111111111111,0.81555555555556,0.81611111111111,0.81611111111111,,0.82185185185185,,1621.5205223881,1291.697761194,1129.552238806,1162.5093283582,879.48694029851,755.67164179104,604.60820895522,1063.5780916844,,0.73596455278413,0.74096986927571,0.74163974057917,0.73814631545251,0.7364264972768,0.73746073606971,0.75698584929484,0.74108479439041
Iceland,0.90555555555556,0.93833333333333,0.95111111111111,0.94277777777778,0.94944444444444,0.94944444444444,,0.93944444444444,,1185.5086306884,1209.2515521594,1076.0728662073,1185.2357235451,1030.7702804121,1148.9390734802,1013.0313160947,1121.2584917982,,0.90762855146081,0.92927692437681,0.93286873960724,0.93857079582088,0.95290193589733,0.96687082761195,0.98466541682766,0.9446833130861
Ireland,0.89055555555556,0.91555555555556,0.93777777777778,0.95444444444444,0.96111111111111,0.96111111111111,,0.93675925925926,,1625.8858858859,1668.2882882883,1655.6356356356,1568.2082082082,1359.7197197197,1473.5935935936,1438.7187187187,1541.4357214357,,0.90729406944878,0.91747256413258,0.92733447500396,0.93992583489084,0.94426944809887,0.94967662197453,0.9674215783199,0.93619922740992
Italy,0.78833333333333,0.79611111111111,0.78944444444444,0.79277777777778,0.79277777777778,0.79277777777778,,0.79203703703704,,1934.6016949153,2329.9423728814,2354.3644067797,2201.0949152542,2029.4084745763,1925.8389830508,1810.2406779661,2083.6416464891,,0.88996662544668,0.88722965230194,0.88439888284276,0.87589460557711,0.87110173768607,0.86818984482714,0.87964914103509,0.87949006995954
Latvia,0.84222222222222,0.85944444444444,0.86333333333333,0.86555555555556,0.86555555555556,0.86555555555556,,0.86027777777778,,1200.1577287066,1131.8086225026,1139.221871714,1067.5604626709,818.24395373291,818.76971608833,794.05888538381,995.68874868559,,0.74527185664554,0.75658276504931,0.76017237708392,0.757888875287,0.75465328745699,0.75516343901037,0.77146531492264,0.75731398792226
Lithuania,0.84277777777778,0.84944444444444,0.88055555555556,0.88055555555556,0.88055555555556,0.88055555555556,,0.86907407407407,,868.62254025045,1022.8980322004,1022.2182468694,838.21109123435,734.49016100179,628.15742397138,477.06618962433,798.80909787887,,0.7475385446639,0.76027088098789,0.76729351991648,0.75868705802332,0.7557733553089,0.75958000090758,0.77965172747387,0.76125644104028
Malta,0.77666666666667,0.78888888888889,0.79777777777778,0.80944444444444,0.81833333333333,0.81833333333333,,0.80157407407407,,1704.9792017667,1672.8061909249,1606.9371864797,1702.6947276241,1735.058111311,1623.4996240136,1296.4390759302,1620.3448740072,,0.81583296534326,0.82386373554974,0.83136606266587,0.83543167622245,0.82527908921374,0.82876051933252,0.84617640535534,0.82953006481185
Montenegro,0.79,0.79,0.79333333333333,0.79055555555556,0.79055555555556,0.79055555555556,,0.79083333333333,,171.25795729818,151.9431500841,172.38465438567,162.56629405184,108.80674730599,109.12866075955,100.91986769357,139.57247593984,,0.6417595560512,0.64871799373098,0.64851177427045,0.64726851020376,0.64368932194504,0.65035769212567,0.6701967479735,0.65007165661437
Netherlands,0.89444444444444,0.90055555555556,0.90333333333333,0.90611111111111,0.90333333333333,0.90666666666667,,0.90240740740741,,2307.8841743119,2298.5493119266,2143.2855504587,1968.5493119266,1794.3405963303,1535.625,1393.4288990826,1920.2375491481,,0.94735438464296,0.94741145141031,0.9446185755225,0.93817706637332,0.92908379961403,0.92975865880672,0.94248213220026,0.93984086693859
North Macedonia,0.66833333333333,0.67166666666667,0.67777777777778,0.68944444444444,0.68944444444444,0.68944444444444,,0.68101851851852,,0,0,0,0,0,0,0,0,,0.58286700287464,0.5909334962594,0.59685800977,0.59422069431637,0.59032806165581,0.58849706067528,0.6050557484114,0.59268001056613
Norway,0.90611111111111,0.915,0.90833333333333,0.90833333333333,0.91722222222222,0.91722222222222,,0.91203703703704,,3000.6320877487,2821.6768916155,2562.9485034393,2251.5895147797,2080.1821899981,1887.4140174754,1851.8497862056,2350.8989987518,,1.0421056115524,1.0496562547924,1.0499169954752,1.0323475530309,1.0123138428578,1.0013035092557,1.0103519312052,1.0282850997385
Poland,0.815,0.85611111111111,0.82111111111111,0.85055555555556,0.86222222222222,0.86555555555556,,0.84509259259259,,638.42160737813,587.02766798419,469.76021080369,404.56916996047,357.24110671937,304.81949934124,281.63636363636,434.78223226049,,0.73711677600145,0.73973400292106,0.74163974057917,0.73882879732754,0.73197991921387,0.7320986270639,0.7480732557758,0.73849587412611
Portugal,0.73333333333333,0.75055555555556,0.75222222222222,0.75888888888889,0.75944444444444,0.75944444444444,,0.75231481481481,,956.61818181818,888.74545454545,854.6,922.25454545455,839.68181818182,833.99090909091,824.47272727273,874.33766233766,,0.80878637311815,0.81034952257525,0.80907178790572,0.80362840294297,0.7998115824453,0.80064301463951,0.81494419857569,0.80674784031466
